fold,start_date,end_date,accuracy,roc_auc
0,2015-10-06 22:00:00+00:00,2017-12-12 23:00:00+00:00,0.5431192660550459,0.4668206382272137
1,2017-07-11 22:00:00+00:00,2019-09-17 22:00:00+00:00,0.5981651376146789,0.6438920921339587
2,2019-04-14 22:00:00+00:00,2021-06-20 22:00:00+00:00,0.48256880733944957,0.6447867941156531
3,2021-01-13 23:00:00+00:00,2023-03-22 23:00:00+00:00,0.5357798165137615,0.6923358059450972
4,2022-10-11 22:00:00+00:00,2024-12-19 23:00:00+00:00,0.5889908256880734,0.6812678686037692
