fold,start_date,end_date,r2,mae,rmse
0,2015-10-31,2016-10-31,-3.516806980067579,0.3675172691520938,0.3888301202737664
1,2016-08-31,2017-08-31,0.4346157280633446,0.17840026604245793,0.2175634054592429
2,2017-06-30,2018-06-30,0.05605218484597041,0.14967052292887553,0.18435681302419818
3,2018-04-30,2022-03-31,-0.8874250464859683,0.4184184086476319,0.5280754329174211
4,2020-04-30,2023-01-31,-3.633761610429339,0.389016950741295,0.4515165303091428
