fold,start_date,end_date,r2,mae,rmse
0,2015-10-31,2016-10-31,-5.211698812661994,0.43532464942102145,0.4559837108991832
1,2016-08-31,2017-08-31,0.24516272968136021,0.22646633985415174,0.2513857491932816
2,2017-06-30,2018-06-30,0.2565532964704522,0.12873764287209405,0.16361010340756538
3,2018-04-30,2022-03-31,-0.8707805612699926,0.4032482386430145,0.5257418283109079
4,2020-04-30,2023-01-31,-3.6641637975500334,0.3969478973400437,0.45299531243479585
