,0
EnterpriseValue_zscore,0.3823941175068537
log_marketcap,0.14315752894834113
log_enterprise,0.11902400700334044
MarketCap_zscore,0.09831419097469785
PegRatio_zscore,0.05401094694380524
PbRatio_zscore,0.04645965401559058
ForwardPeRatio_zscore,0.039108942207564244
PsRatio_zscore,0.021953752203069502
PeRatio_zscore,0.021944706503241377
ForwardPeRatio_chg,0.014059720125598711
PbRatio_chg,0.013531074546123529
PegRatio_chg,0.013458154261066568
EnterpriseValue_chg,0.009933913238891218
MarketCap_chg,0.00820018892777533
PsRatio_chg,0.008015120224816099
PeRatio_chg,0.0064339823692244925
