fold,start_date,end_date,accuracy,roc_auc
0,2015-10-06 22:00:00+00:00,2017-12-12 23:00:00+00:00,0.5467889908256881,0.46648854270446527
1,2017-07-11 22:00:00+00:00,2019-09-17 22:00:00+00:00,0.6165137614678899,0.6439817166074149
2,2019-04-14 22:00:00+00:00,2021-06-20 22:00:00+00:00,0.48440366972477067,0.6439563419429192
3,2021-01-13 23:00:00+00:00,2023-03-22 23:00:00+00:00,0.5357798165137615,0.6939060046564514
4,2022-10-11 22:00:00+00:00,2024-12-19 23:00:00+00:00,0.5871559633027523,0.6812532819884475
