contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
MSFT250620C00325000,6/16/2025 10:18 AM,325,155.48,152.95,154.60,0.00,0.00%,1,488,210.21%,"Jun 20, 2025",2025-06-20
MSFT250620C00330000,6/16/2025 12:38 PM,330,150.25,147.55,149.75,0.00,0.00%,17,405,199.56%,"Jun 20, 2025",2025-06-20
MSFT250620C00335000,6/13/2025 9:37 AM,335,143.20,142.80,145.10,0.00,0.00%,1,325,200.59%,"Jun 20, 2025",2025-06-20
MSFT250620C00340000,6/17/2025 11:39 AM,340,137.62,138.00,139.95,-0.08,-0.06%,1,1.082,194.14%,"Jun 20, 2025",2025-06-20
MSFT250620C00345000,6/16/2025 10:04 AM,345,135.80,132.65,134.90,0.00,0.00%,2,461,182.28%,"Jun 20, 2025",2025-06-20
MSFT250620C00350000,6/17/2025 11:46 AM,350,127.92,128.15,129.60,-1.48,-1.14%,6,4.173,177.88%,"Jun 20, 2025",2025-06-20
MSFT250620C00355000,6/13/2025 2:53 PM,355,119.15,123.10,124.75,0.00,0.00%,6,2.35,172.24%,"Jun 20, 2025",2025-06-20
MSFT250620C00360000,6/17/2025 12:38 PM,360,119.75,117.45,119.60,0.75,0.63%,1,1.638,156.05%,"Jun 20, 2025",2025-06-20
MSFT250620C00365000,6/16/2025 3:58 PM,365,113.65,113.10,114.90,0.00,0.00%,1,1.378,160.35%,"Jun 20, 2025",2025-06-20
MSFT250620C00370000,6/16/2025 1:44 PM,370,109.94,108.25,109.80,0.00,0.00%,3,1.165,154.20%,"Jun 20, 2025",2025-06-20
MSFT250620C00375000,6/16/2025 3:54 PM,375,102.90,103.20,104.75,-0.72,-0.69%,2,3.391,146.58%,"Jun 20, 2025",2025-06-20
MSFT250620C00380000,6/17/2025 11:08 AM,380,96.59,97.65,99.75,-1.83,-1.86%,2,4.573,134.57%,"Jun 20, 2025",2025-06-20
MSFT250620C00385000,6/17/2025 11:07 AM,385,91.85,93.25,94.50,-2.13,-2.27%,9,2.361,131.64%,"Jun 20, 2025",2025-06-20
MSFT250620C00390000,6/17/2025 12:21 PM,390,88.09,87.60,89.85,-0.51,-0.58%,94,2.983,122.46%,"Jun 20, 2025",2025-06-20
MSFT250620C00395000,6/17/2025 11:09 AM,395,82.95,82.65,85.30,-1.20,-1.43%,20,3.859,120.61%,"Jun 20, 2025",2025-06-20
MSFT250620C00400000,6/17/2025 12:32 PM,400,78.25,78.15,79.30,-0.30,-0.38%,24,9.699,109.96%,"Jun 20, 2025",2025-06-20
MSFT250620C00405000,6/17/2025 11:17 AM,405,72.55,73.25,74.75,-1.28,-1.73%,10,2.695,108.25%,"Jun 20, 2025",2025-06-20
MSFT250620C00410000,6/17/2025 11:54 AM,410,67.83,68.40,69.35,-1.17,-1.70%,117,5.219,99.95%,"Jun 20, 2025",2025-06-20
MSFT250620C00412500,6/13/2025 11:47 AM,412.5,64.36,64.15,67.50,0.00,0.00%,-,1,87.45%,"Jun 20, 2025",2025-06-20
MSFT250620C00415000,6/17/2025 12:23 PM,415,64.50,63.15,64.25,1.17,1.85%,66,2.328,90.99%,"Jun 20, 2025",2025-06-20
MSFT250620C00417500,6/13/2025 1:54 PM,417.5,58.65,59.30,62.45,0.00,0.00%,-,5,82.52%,"Jun 20, 2025",2025-06-20
MSFT250620C00420000,6/17/2025 12:32 PM,420,58.70,58.25,59.20,-0.29,-0.49%,76,13.106,85.23%,"Jun 20, 2025",2025-06-20
MSFT250620C00425000,6/17/2025 12:13 PM,425,52.81,53.05,54.25,-2.09,-3.81%,31,11.909,77.98%,"Jun 20, 2025",2025-06-20
MSFT250620C00427500,6/13/2025 2:30 PM,427.5,47.51,50.60,52.60,0.00,0.00%,-,1,80.88%,"Jun 20, 2025",2025-06-20
MSFT250620C00430000,6/17/2025 12:25 PM,430,48.20,48.65,49.35,-1.17,-2.37%,36,7.287,76.44%,"Jun 20, 2025",2025-06-20
MSFT250620C00432500,6/17/2025 11:04 AM,432.5,44.24,44.50,47.60,-0.48,-1.07%,1,23,67.43%,"Jun 20, 2025",2025-06-20
MSFT250620C00435000,6/17/2025 10:52 AM,435,41.19,43.55,44.25,-2.64,-6.02%,14,6.391,68.87%,"Jun 20, 2025",2025-06-20
MSFT250620C00437500,6/17/2025 11:22 AM,437.5,39.81,40.70,42.25,-3.37,-7.80%,5,28,66.55%,"Jun 20, 2025",2025-06-20
MSFT250620C00440000,6/17/2025 12:28 PM,440,38.30,38.65,39.20,-0.70,-1.79%,33,11.651,62.79%,"Jun 20, 2025",2025-06-20
MSFT250620C00442500,6/16/2025 10:03 AM,442.5,35.35,35.75,37.40,-2.52,-6.65%,1,39,61.18%,"Jun 20, 2025",2025-06-20
MSFT250620C00445000,6/17/2025 12:24 PM,445,33.11,33.70,34.25,-0.79,-2.33%,331,2.24,56.86%,"Jun 20, 2025",2025-06-20
MSFT250620C00447500,6/17/2025 11:22 AM,447.5,29.64,30.50,32.00,-2.78,-8.57%,2,151,51.27%,"Jun 20, 2025",2025-06-20
MSFT250620C00450000,6/17/2025 12:36 PM,450,28.95,28.80,29.85,0.17,0.59%,90,8.496,53.56%,"Jun 20, 2025",2025-06-20
MSFT250620C00452500,6/16/2025 3:50 PM,452.5,26.20,25.65,26.80,0.00,0.00%,4,832,49.89%,"Jun 20, 2025",2025-06-20
MSFT250620C00455000,6/17/2025 12:09 PM,455,22.77,23.85,24.30,-1.64,-6.72%,17,4.912,46.41%,"Jun 20, 2025",2025-06-20
MSFT250620C00457500,6/17/2025 11:12 AM,457.5,19.80,21.30,22.30,-2.73,-12.12%,7,631,46.74%,"Jun 20, 2025",2025-06-20
MSFT250620C00460000,6/17/2025 12:35 PM,460,19.00,18.90,19.50,0.00,0.00%,155,14.655,40.78%,"Jun 20, 2025",2025-06-20
MSFT250620C00462500,6/17/2025 11:49 AM,462.5,15.65,16.35,17.00,-1.00,-6.01%,28,568,37.05%,"Jun 20, 2025",2025-06-20
MSFT250620C00465000,6/17/2025 12:36 PM,465,14.19,14.00,14.40,-0.41,-2.81%,134,8.672,32.53%,"Jun 20, 2025",2025-06-20
MSFT250620C00467500,6/17/2025 11:55 AM,467.5,10.80,11.50,12.20,-1.38,-11.33%,68,1.372,30.52%,"Jun 20, 2025",2025-06-20
MSFT250620C00470000,6/17/2025 12:38 PM,470,9.62,9.45,9.80,-0.03,-0.31%,575,9.067,26.91%,"Jun 20, 2025",2025-06-20
MSFT250620C00472500,6/17/2025 12:16 PM,472.5,6.61,7.40,7.60,-1.49,-18.40%,342,2.345,24.07%,"Jun 20, 2025",2025-06-20
MSFT250620C00475000,6/17/2025 12:38 PM,475,5.50,5.40,5.55,-0.14,-2.48%,3.717,19.404,21.42%,"Jun 20, 2025",2025-06-20
MSFT250620C00477500,6/17/2025 12:38 PM,477.5,3.75,3.70,3.80,-0.45,-10.69%,4.146,2.877,19.39%,"Jun 20, 2025",2025-06-20
MSFT250620C00480000,6/17/2025 12:38 PM,480,2.35,2.33,2.39,-0.41,-14.86%,7.1,15.473,17.76%,"Jun 20, 2025",2025-06-20
MSFT250620C00482500,6/17/2025 12:39 PM,482.5,1.32,1.30,1.34,-0.34,-20.48%,2.277,3.57,16.41%,"Jun 20, 2025",2025-06-20
MSFT250620C00485000,6/17/2025 12:37 PM,485,0.65,0.65,0.66,-0.26,-28.57%,3.298,12.457,15.35%,"Jun 20, 2025",2025-06-20
MSFT250620C00487500,6/17/2025 12:37 PM,487.5,0.27,0.27,0.29,-0.14,-33.33%,816,4.504,14.65%,"Jun 20, 2025",2025-06-20
MSFT250620C00490000,6/17/2025 12:37 PM,490,0.13,0.12,0.13,-0.08,-38.10%,967,22.411,14.55%,"Jun 20, 2025",2025-06-20
