fold,start_date,end_date,accuracy,roc_auc
0,2016-04-30,2017-11-30,0.65,0.5714285714285714
1,2017-08-31,2019-03-31,0.7,0.45238095238095233
2,2018-12-31,2022-04-30,0.8,0.84375
3,2020-04-30,2023-08-31,0.6,0.8080808080808081
4,2023-05-31,2024-12-31,0.6,0.4642857142857143
