fold,start_date,end_date,accuracy,roc_auc
0,2015-10-06 22:00:00+00:00,2017-12-12 23:00:00+00:00,0.673394495412844,0.7150082270115719
1,2017-07-11 22:00:00+00:00,2019-09-17 22:00:00+00:00,0.655045871559633,0.7173637173637175
2,2019-04-14 22:00:00+00:00,2021-06-20 22:00:00+00:00,0.708256880733945,0.7614975140510161
3,2021-01-13 23:00:00+00:00,2023-03-22 23:00:00+00:00,0.6752293577981652,0.7362841043890865
4,2022-10-11 22:00:00+00:00,2024-12-19 23:00:00+00:00,0.6458715596330276,0.6957750122542345
