number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.6639106703994795,2025-07-06 18:00:12.899195,2025-07-06 18:00:32.581004,0 days 00:00:19.681809,0.13118509677697418,6,197,0.8292922000891625,COMPLETE
1,0.6405213055471589,2025-07-06 18:00:32.582579,2025-07-06 18:01:06.359525,0 days 00:00:33.776946,0.215446962899951,6,294,0.9515107801460111,COMPLETE
2,0.6979828349958103,2025-07-06 18:01:06.360026,2025-07-06 18:01:15.897867,0 days 00:00:09.537841,0.011505477987248562,3,271,0.5520118867798567,COMPLETE
3,0.6527255619763025,2025-07-06 18:01:15.898731,2025-07-06 18:01:48.906154,0 days 00:00:33.007423,0.1503814695029352,9,194,0.9599652842975614,COMPLETE
4,0.6347770263601453,2025-07-06 18:01:48.906777,2025-07-06 18:01:53.983579,0 days 00:00:05.076802,0.19622680656694347,7,71,0.5197617551593674,COMPLETE
5,0.627699479303475,2025-07-06 18:01:53.984090,2025-07-06 18:02:03.943795,0 days 00:00:09.959705,0.18963122210927974,3,284,0.5718996291853324,COMPLETE
6,0.6343960755613544,2025-07-06 18:02:03.944298,2025-07-06 18:02:13.321148,0 days 00:00:09.376850,0.17676010505489106,3,235,0.6193124636064546,COMPLETE
7,0.6412679121150014,2025-07-06 18:02:13.322004,2025-07-06 18:02:40.080078,0 days 00:00:26.758074,0.06322209769198305,7,297,0.6658394518164801,COMPLETE
8,0.7024392975373397,2025-07-06 18:02:40.080564,2025-07-06 18:02:42.268188,0 days 00:00:02.187624,0.030188351489729134,3,61,0.5906415382315362,COMPLETE
9,0.6318712407505678,2025-07-06 18:02:42.268649,2025-07-06 18:02:53.444451,0 days 00:00:11.175802,0.1785232838845384,6,123,0.7696126404334487,COMPLETE
10,0.6628434262076298,2025-07-06 18:02:53.444910,2025-07-06 18:03:00.182628,0 days 00:00:06.737718,0.01576397668877917,10,54,0.6937883738185532,COMPLETE
11,0.7051496000466116,2025-07-06 18:03:00.183100,2025-07-06 18:03:05.105593,0 days 00:00:04.922493,0.012449319042965083,4,123,0.5092066404274225,COMPLETE
12,0.6861165618329891,2025-07-06 18:03:05.106041,2025-07-06 18:03:10.231812,0 days 00:00:05.125771,0.026337344310466304,4,120,0.5313252845138292,COMPLETE
13,0.6750699872531936,2025-07-06 18:03:10.232284,2025-07-06 18:03:17.371375,0 days 00:00:07.139091,0.02758912896618951,5,111,0.6254869226619495,COMPLETE
14,0.6827640956367227,2025-07-06 18:03:17.372267,2025-07-06 18:03:22.552842,0 days 00:00:05.180575,0.028544340935353664,4,88,0.7348158970229762,COMPLETE
15,0.6561912314649363,2025-07-06 18:03:22.553350,2025-07-06 18:03:28.446328,0 days 00:00:05.892978,0.053946733116975086,4,146,0.5054298958499099,COMPLETE
16,0.6818700928413507,2025-07-06 18:03:28.446789,2025-07-06 18:03:37.874793,0 days 00:00:09.428004,0.016702050545401734,5,161,0.6018848205393121,COMPLETE
17,0.6592700712657502,2025-07-06 18:03:37.875255,2025-07-06 18:03:45.525660,0 days 00:00:07.650405,0.052664762654923356,5,89,0.855642788967462,COMPLETE
18,0.66604887545953,2025-07-06 18:03:45.526123,2025-07-06 18:03:50.732100,0 days 00:00:05.205977,0.01023825528146393,8,53,0.6664443982448293,COMPLETE
19,0.6881460111005069,2025-07-06 18:03:50.732572,2025-07-06 18:03:57.586133,0 days 00:00:06.853561,0.019928191605064198,4,145,0.5961631130239702,COMPLETE
20,0.6819869182250535,2025-07-06 18:03:57.586642,2025-07-06 18:04:02.130419,0 days 00:00:04.543777,0.0382755045838408,3,95,0.7771726055411388,COMPLETE
21,0.6971946845041227,2025-07-06 18:04:02.130927,2025-07-06 18:04:10.231984,0 days 00:00:08.101057,0.011539828909560073,3,240,0.5542061578126997,COMPLETE
22,0.6912806832534221,2025-07-06 18:04:10.232453,2025-07-06 18:04:19.179676,0 days 00:00:08.947223,0.014146182216066857,3,253,0.5553748342942568,COMPLETE
23,0.6519420571925184,2025-07-06 18:04:19.180667,2025-07-06 18:04:27.814096,0 days 00:00:08.633429,0.08585435769298633,4,212,0.5028933555343708,COMPLETE
24,0.6724638537329706,2025-07-06 18:04:27.814571,2025-07-06 18:04:44.897473,0 days 00:00:17.082902,0.02073978494378001,5,267,0.6508188792276668,COMPLETE
25,0.700547426556979,2025-07-06 18:04:44.897938,2025-07-06 18:04:51.333977,0 days 00:00:06.436039,0.01256995981434304,3,183,0.5771617030468635,COMPLETE
26,0.6666106618845489,2025-07-06 18:04:51.334479,2025-07-06 18:05:01.194649,0 days 00:00:09.860170,0.0343487894511617,4,171,0.7175003171281612,COMPLETE
27,0.6329528597428656,2025-07-06 18:05:01.195119,2025-07-06 18:05:06.285672,0 days 00:00:05.090553,0.28292538485993085,3,141,0.5861138173501406,COMPLETE
28,0.6695004156679399,2025-07-06 18:05:06.286122,2025-07-06 18:05:17.762180,0 days 00:00:11.476058,0.02044796851482018,5,179,0.631787616168015,COMPLETE
29,0.6547257906433394,2025-07-06 18:05:17.763138,2025-07-06 18:05:32.059429,0 days 00:00:14.296291,0.09317169391712854,4,207,0.8479758690447157,COMPLETE
