number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_n_estimators,state
0,0.7663709082553519,2025-07-06 18:05:39.197581,2025-07-06 18:06:15.062187,0 days 00:00:35.864606,18,,294,COMPLETE
1,0.7334834855125457,2025-07-06 18:06:15.065450,2025-07-06 18:06:16.099644,0 days 00:00:01.034194,4,log2,166,COMPLETE
2,0.6845924632644161,2025-07-06 18:06:16.100113,2025-07-06 18:06:18.894035,0 days 00:00:02.793922,12,log2,232,COMPLETE
3,0.7728584690392176,2025-07-06 18:06:18.894473,2025-07-06 18:06:43.132919,0 days 00:00:24.238446,11,,220,COMPLETE
4,0.7329620483477065,2025-07-06 18:06:43.133386,2025-07-06 18:06:43.724537,0 days 00:00:00.591151,7,log2,65,COMPLETE
5,0.6996123364572968,2025-07-06 18:06:43.725037,2025-07-06 18:06:47.564804,0 days 00:00:03.839767,11,sqrt,263,COMPLETE
6,0.7889480128238363,2025-07-06 18:06:47.565275,2025-07-06 18:06:48.037646,0 days 00:00:00.472371,3,sqrt,76,COMPLETE
7,0.7823260833341955,2025-07-06 18:06:48.038087,2025-07-06 18:07:00.625437,0 days 00:00:12.587350,14,,105,COMPLETE
8,0.875950140351636,2025-07-06 18:07:00.625883,2025-07-06 18:07:05.182523,0 days 00:00:04.556640,5,,72,COMPLETE
9,0.8057054598385931,2025-07-06 18:07:05.183010,2025-07-06 18:07:16.326473,0 days 00:00:11.143463,9,,109,COMPLETE
10,0.8556366662147772,2025-07-06 18:07:16.327425,2025-07-06 18:07:27.219966,0 days 00:00:10.892541,6,,147,COMPLETE
11,0.8546245168899483,2025-07-06 18:07:27.220418,2025-07-06 18:07:38.570281,0 days 00:00:11.349863,6,,151,COMPLETE
12,0.8561922488217161,2025-07-06 18:07:38.570744,2025-07-06 18:07:48.728700,0 days 00:00:10.157956,6,,136,COMPLETE
13,0.8182184821921467,2025-07-06 18:07:48.729160,2025-07-06 18:07:58.861182,0 days 00:00:10.132022,8,,110,COMPLETE
14,0.8949961341391545,2025-07-06 18:07:58.861632,2025-07-06 18:08:01.032018,0 days 00:00:02.170386,3,,52,COMPLETE
15,0.7963884222633624,2025-07-06 18:08:01.032509,2025-07-06 18:08:01.351703,0 days 00:00:00.319194,3,sqrt,50,COMPLETE
16,0.7728268332925369,2025-07-06 18:08:01.352143,2025-07-06 18:08:25.220152,0 days 00:00:23.868009,20,,195,COMPLETE
17,0.8955875729862594,2025-07-06 18:08:25.221090,2025-07-06 18:08:29.656204,0 days 00:00:04.435114,4,,84,COMPLETE
18,0.7178956770127836,2025-07-06 18:08:29.656687,2025-07-06 18:08:31.023661,0 days 00:00:01.366974,15,sqrt,86,COMPLETE
19,0.7072537017653108,2025-07-06 18:08:31.024104,2025-07-06 18:08:31.596002,0 days 00:00:00.571898,9,log2,53,COMPLETE
20,0.8974568519090481,2025-07-06 18:08:31.596475,2025-07-06 18:08:36.618997,0 days 00:00:05.022522,3,,124,COMPLETE
21,0.8975528473807449,2025-07-06 18:08:36.619437,2025-07-06 18:08:41.588749,0 days 00:00:04.969312,3,,123,COMPLETE
22,0.8810119936016112,2025-07-06 18:08:41.589206,2025-07-06 18:08:49.314833,0 days 00:00:07.725627,5,,122,COMPLETE
23,0.9025918758174997,2025-07-06 18:08:49.315282,2025-07-06 18:08:59.009621,0 days 00:00:09.694339,4,,185,COMPLETE
24,0.8120973387887179,2025-07-06 18:08:59.010093,2025-07-06 18:09:16.801258,0 days 00:00:17.791165,8,,187,COMPLETE
25,0.9009787558708243,2025-07-06 18:09:16.802212,2025-07-06 18:09:25.629083,0 days 00:00:08.826871,4,,169,COMPLETE
26,0.8898387220860086,2025-07-06 18:09:25.629536,2025-07-06 18:09:38.386881,0 days 00:00:12.757345,5,,199,COMPLETE
27,0.8299163645030679,2025-07-06 18:09:38.387337,2025-07-06 18:09:52.461667,0 days 00:00:14.074330,7,,168,COMPLETE
28,0.7469708149797724,2025-07-06 18:09:52.462145,2025-07-06 18:09:53.904577,0 days 00:00:01.442432,4,log2,232,COMPLETE
29,0.7287344555654927,2025-07-06 18:09:53.905010,2025-07-06 18:09:58.408230,0 days 00:00:04.503220,15,sqrt,284,COMPLETE
