fold,start_date,end_date,accuracy,roc_auc
0,2015-02-20,2016-07-11,0.7742857142857142,0.5981129431547481
1,2016-04-01,2017-08-28,0.8171428571428572,0.5574191433566433
2,2017-05-19,2018-10-08,0.7828571428571428,0.5105647330003842
3,2018-06-29,2019-11-21,0.7885714285714286,0.5368683901292597
4,2019-08-15,2021-01-05,0.7971428571428572,0.542480690595184
