number,value,datetime_start,datetime_complete,duration,params_alpha,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
0,0.8362929695395183,2025-07-04 18:55:37.987014,2025-07-04 18:55:52.575647,0 days 00:00:14.588633,3.792631366751941e-05,0.0006569521257375259,3,171,170.0,155.0,COMPLETE
1,0.8694219065028322,2025-07-04 18:55:52.577013,2025-07-04 18:55:59.112615,0 days 00:00:06.535602,3.964485818082358e-05,0.004726702546586442,1,225,,,COMPLETE
2,0.838458890734313,2025-07-04 18:55:59.113749,2025-07-04 18:56:17.205678,0 days 00:00:18.091929,3.667538671100385e-05,0.0006066947364543095,3,241,182.0,70.0,COMPLETE
3,0.8615557056013783,2025-07-04 18:56:17.206830,2025-07-04 18:56:26.908286,0 days 00:00:09.701456,6.608247662208697e-05,0.001260461854632597,1,208,,,COMPLETE
4,0.8610673842404063,2025-07-04 18:56:26.908771,2025-07-04 18:56:38.920365,0 days 00:00:12.011594,0.009233425623950567,0.0022330845124029996,2,256,234.0,,COMPLETE
5,0.8594446550218121,2025-07-04 18:56:38.920943,2025-07-04 18:57:41.625610,0 days 00:01:02.704667,0.0037792117396389133,0.00010373035636165122,2,177,239.0,,COMPLETE
6,0.8604324776054111,2025-07-04 18:57:41.626421,2025-07-04 18:57:47.530780,0 days 00:00:05.904359,0.0019090608446383991,0.002380317746208774,2,138,86.0,,COMPLETE
7,0.8588051195804379,2025-07-04 18:57:47.531277,2025-07-04 18:58:00.569547,0 days 00:00:13.038270,0.0003569609990765747,0.00013421900603236486,1,108,,,COMPLETE
8,0.8437085013659491,2025-07-04 18:58:00.570406,2025-07-04 18:58:08.570480,0 days 00:00:08.000074,0.0029696144710038967,0.0025905246289114454,2,68,128.0,,COMPLETE
9,0.8480518514083087,2025-07-04 18:58:08.570939,2025-07-04 18:58:21.630418,0 days 00:00:13.059479,0.0035273441851870722,0.0012655194195666706,2,72,64.0,,COMPLETE
10,0.8724199115787935,2025-07-04 18:58:21.631954,2025-07-04 18:58:26.974071,0 days 00:00:05.342117,1.0538064904027495e-05,0.0064846407550562864,1,204,,,COMPLETE
11,0.8817839533331556,2025-07-04 18:58:26.975760,2025-07-04 18:58:30.571971,0 days 00:00:03.596211,1.0725323982008286e-05,0.0077528773500035895,1,211,,,COMPLETE
12,0.8664331804912813,2025-07-04 18:58:30.572437,2025-07-04 18:58:36.585544,0 days 00:00:06.013107,1.0249275427875092e-05,0.00927653395573668,1,196,,,COMPLETE
13,0.875287322379594,2025-07-04 18:58:36.586084,2025-07-04 18:58:40.686645,0 days 00:00:04.100561,1.2162852332604577e-05,0.0085167142294974,1,147,,,COMPLETE
14,0.8573428514360243,2025-07-04 18:58:40.687106,2025-07-04 18:58:47.365604,0 days 00:00:06.678498,0.00011454706042924409,0.0044729625675732744,1,129,,,COMPLETE
15,0.8473204593491573,2025-07-04 18:58:47.366931,2025-07-04 18:58:51.964285,0 days 00:00:04.597354,0.0002952996749225931,0.00741593853730081,1,39,,,COMPLETE
16,0.8688104188918365,2025-07-04 18:58:51.967134,2025-07-04 18:59:16.735626,0 days 00:00:24.768492,1.4891217045207023e-05,0.00026934018952532574,1,168,,,COMPLETE
17,0.8376152755460252,2025-07-04 18:59:16.741524,2025-07-04 18:59:26.763054,0 days 00:00:10.021530,0.00019447406651915152,0.003317923594388162,3,107,45.0,255.0,COMPLETE
18,0.856666483934421,2025-07-04 18:59:26.764231,2025-07-04 18:59:33.674469,0 days 00:00:06.910238,0.0007208360928702473,0.008588736318509642,2,156,111.0,,COMPLETE
19,0.8508461708395575,2025-07-04 18:59:33.675793,2025-07-04 18:59:40.080325,0 days 00:00:06.404532,2.0860643284960416e-05,0.0046203294746877364,1,109,,,COMPLETE
20,0.8595688852738075,2025-07-04 18:59:40.081898,2025-07-04 18:59:56.792187,0 days 00:00:16.710289,2.3380904267423314e-05,0.0016549142747185645,2,220,197.0,,COMPLETE
21,0.8606585027710718,2025-07-04 18:59:56.793214,2025-07-04 19:00:07.443814,0 days 00:00:10.650600,1.0028946586396775e-05,0.005819959137948828,1,189,,,COMPLETE
22,0.8753336264376032,2025-07-04 19:00:07.444313,2025-07-04 19:00:10.110083,0 days 00:00:02.665770,7.460387803018464e-05,0.00970226643667834,1,200,,,COMPLETE
23,0.8488069547599534,2025-07-04 19:00:10.110616,2025-07-04 19:00:15.760891,0 days 00:00:05.650275,8.906616133053467e-05,0.009987503674669652,1,231,,,COMPLETE
24,0.8668329509423701,2025-07-04 19:00:15.762194,2025-07-04 19:00:21.778702,0 days 00:00:06.016508,2.5275460571795228e-05,0.003331635522686058,1,149,,,COMPLETE
25,0.8725722132990804,2025-07-04 19:00:21.779313,2025-07-04 19:00:25.479040,0 days 00:00:03.699727,6.798427801759986e-05,0.006157333611615581,1,187,,,COMPLETE
26,0.8626370299554762,2025-07-04 19:00:25.480193,2025-07-04 19:00:29.843172,0 days 00:00:04.362979,0.00014414368934345266,0.003558778468117261,1,214,,,COMPLETE
27,0.8549667197763658,2025-07-04 19:00:29.844505,2025-07-04 19:00:44.559182,0 days 00:00:14.714677,5.464116456016682e-05,0.0007405351621582613,2,248,149.0,,COMPLETE
28,0.865229437933411,2025-07-04 19:00:44.560491,2025-07-04 19:01:02.520468,0 days 00:00:17.959977,1.803806394345314e-05,0.00044024024212980427,1,168,,,COMPLETE
29,0.8550881415056676,2025-07-04 19:01:02.521623,2025-07-04 19:01:07.922073,0 days 00:00:05.400450,2.9896890148295284e-05,0.009920354716691792,3,158,95.0,34.0,COMPLETE
