fold,start_date,end_date,rmse,mae,r2
0,2015-10-26,2017-12-21,7.752003711740969,5.846960142382928,-0.25694415114290603
1,2017-07-20,2019-09-18,6.561028353830111,5.331508223062009,-0.386071795000154
2,2019-04-15,2021-06-11,8.114235071735365,6.930657362026317,-0.9899884384795121
3,2021-01-06,2023-03-07,5.528992571639819,4.477886752686105,-0.26502829066998657
4,2022-09-29,2024-11-27,4.80018525394636,3.723058109808308,-0.01036747661469728
