,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
119,SPY250617P00535000,2025-06-16 16:02:00,535,0.01,0.00,0.01,0.00,0.00%,181.0,643.0,0.6718999999999999,"Jun 17, 2025",2025-06-17,put,0,2025-06-16,short
124,SPY250617P00552000,2025-06-16 15:26:00,552,0.02,0.00,0.01,0.00,0.00%,722.0,697.0,0.5,"Jun 17, 2025",2025-06-17,put,0,2025-06-16,short
125,SPY250617P00553000,2025-06-16 15:57:00,553,0.02,0.00,0.01,0.00,0.00%,327.0,701.0,0.5156000000000001,"Jun 17, 2025",2025-06-17,put,0,2025-06-16,short
129,SPY250617P00557000,2025-06-16 15:43:00,557,0.01,0.00,0.01,-0.01,-50.00%,1.0,898.0,0.46880000000000005,"Jun 17, 2025",2025-06-17,put,0,2025-06-16,short
131,SPY250617P00559000,2025-06-16 14:30:00,559,0.01,0.00,0.01,-0.03,-75.00%,2.0,2.551,0.4531,"Jun 17, 2025",2025-06-17,put,0,2025-06-16,short
133,SPY250617P00561000,2025-06-16 16:08:00,561,0.01,0.00,0.01,-0.01,-50.00%,7.0,610.0,0.42969999999999997,"Jun 17, 2025",2025-06-17,put,0,2025-06-16,short
135,SPY250617P00563000,2025-06-16 16:00:00,563,0.01,0.00,0.01,-0.02,-66.67%,2.0,980.0,0.40630000000000005,"Jun 17, 2025",2025-06-17,put,0,2025-06-16,short
186,SPY250617P00614000,2025-06-13 11:54:00,614,13.26,15.37,16.00,0.86,6.94%,4.0,0.0,0.0,"Jun 17, 2025",2025-06-17,put,3,2025-06-13,short
198,SPY250618C00500000,2025-06-17 11:58:00,500,100.24,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
199,SPY250618C00505000,2025-06-16 09:57:00,505,98.41,0.00,0.00,0.00,0.00%,,0.0,0.0,"Jun 18, 2025",2025-06-18,call,1,2025-06-16,short
200,SPY250618C00510000,2025-06-13 14:39:00,510,86.21,0.00,0.00,0.00,0.00%,,0.0,0.0,"Jun 18, 2025",2025-06-18,call,4,2025-06-13,short
201,SPY250618C00515000,2025-06-17 15:35:00,515,83.20,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
202,SPY250618C00520000,2025-06-17 15:35:00,520,78.26,0.00,0.00,0.00,0.00%,,,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
203,SPY250618C00525000,2025-06-17 15:36:00,525,73.34,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
204,SPY250618C00530000,2025-06-17 15:36:00,530,68.33,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
205,SPY250618C00535000,2025-06-17 16:01:00,535,63.22,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
206,SPY250618C00540000,2025-06-17 15:37:00,540,58.51,0.00,0.00,0.00,0.00%,240.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
207,SPY250618C00545000,2025-06-17 15:30:00,545,53.34,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
208,SPY250618C00550000,2025-06-17 12:09:00,550,50.80,0.00,0.00,0.00,0.00%,125.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
210,SPY250618C00552000,2025-06-17 16:07:00,552,45.84,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
211,SPY250618C00553000,2025-06-17 16:07:00,553,45.01,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
