fold,start_date,end_date,accuracy,roc_auc
0,2016-04-30,2017-11-30,0.65,0.5833333333333334
1,2017-08-31,2019-03-31,0.75,0.5833333333333334
2,2018-12-31,2022-04-30,0.7,0.796875
3,2020-04-30,2023-08-31,0.55,0.7474747474747474
4,2023-05-31,2024-12-31,0.55,0.5595238095238095
