fold,start_date,end_date,r2,mae,rmse
0,2015-10-26,2017-12-21,-0.2674603296463216,5.6144499693661105,7.784364597748429
1,2017-07-20,2019-09-18,-0.0395645920719403,4.367428896400346,5.682046596670541
2,2019-04-15,2021-06-11,-0.15378275728378443,4.868835950319629,6.178518206198135
3,2021-01-06,2023-03-07,-0.0207934438811066,4.0518477543051645,4.966664491395011
4,2022-09-29,2024-11-27,-0.28313315289602925,4.357199451532464,5.409463348022878
