number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_n_estimators,state
0,-0.30688099592071055,2025-07-06 19:00:43.412199,2025-07-06 19:00:43.993408,0 days 00:00:00.581209,19,log2,95,COMPLETE
1,-0.46710046099122504,2025-07-06 19:00:43.994034,2025-07-06 19:00:45.486017,0 days 00:00:01.491983,8,,242,COMPLETE
2,-0.6755417031586722,2025-07-06 19:00:45.486456,2025-07-06 19:00:46.370795,0 days 00:00:00.884339,15,,103,COMPLETE
3,-0.27436251352219515,2025-07-06 19:00:46.371238,2025-07-06 19:00:46.811334,0 days 00:00:00.440096,17,sqrt,99,COMPLETE
4,-0.6640231177969409,2025-07-06 19:00:46.811766,2025-07-06 19:00:48.058641,0 days 00:00:01.246875,19,,140,COMPLETE
5,-0.23976380821026777,2025-07-06 19:00:48.059136,2025-07-06 19:00:48.502473,0 days 00:00:00.443337,14,log2,110,COMPLETE
6,-0.23303907955627232,2025-07-06 19:00:48.502906,2025-07-06 19:00:49.292663,0 days 00:00:00.789757,12,sqrt,213,COMPLETE
7,-0.06552416851730529,2025-07-06 19:00:49.293100,2025-07-06 19:00:49.566944,0 days 00:00:00.273844,5,sqrt,112,COMPLETE
8,-0.31325557770337137,2025-07-06 19:00:49.567369,2025-07-06 19:00:50.007905,0 days 00:00:00.440536,20,log2,98,COMPLETE
9,-0.15511666905425744,2025-07-06 19:00:50.008350,2025-07-06 19:00:50.726129,0 days 00:00:00.717779,9,log2,224,COMPLETE
10,-0.022045923170834092,2025-07-06 19:00:50.726559,2025-07-06 19:00:51.069750,0 days 00:00:00.343191,3,sqrt,169,COMPLETE
11,-0.02531600041954507,2025-07-06 19:00:51.070178,2025-07-06 19:00:51.665132,0 days 00:00:00.594954,3,sqrt,296,COMPLETE
12,-0.0253904012266651,2025-07-06 19:00:51.665591,2025-07-06 19:00:52.264341,0 days 00:00:00.598750,3,sqrt,297,COMPLETE
13,-0.02227478392422011,2025-07-06 19:00:52.264772,2025-07-06 19:00:52.623549,0 days 00:00:00.358777,3,sqrt,178,COMPLETE
14,-0.10549077849268707,2025-07-06 19:00:52.623969,2025-07-06 19:00:53.109490,0 days 00:00:00.485521,7,sqrt,170,COMPLETE
15,-0.07946155606183407,2025-07-06 19:00:53.109954,2025-07-06 19:00:53.566227,0 days 00:00:00.456273,6,sqrt,170,COMPLETE
16,-0.22956347535099395,2025-07-06 19:00:53.566667,2025-07-06 19:00:53.779430,0 days 00:00:00.212763,11,sqrt,58,COMPLETE
17,-0.06248975698742084,2025-07-06 19:00:53.779961,2025-07-06 19:00:54.257020,0 days 00:00:00.477059,5,sqrt,194,COMPLETE
18,-0.19930104150292896,2025-07-06 19:00:54.257450,2025-07-06 19:00:54.753052,0 days 00:00:00.495602,10,sqrt,145,COMPLETE
19,-0.06443171360614282,2025-07-06 19:00:54.753484,2025-07-06 19:00:55.605016,0 days 00:00:00.851532,3,,255,COMPLETE
20,-0.08546303938029176,2025-07-06 19:00:55.605482,2025-07-06 19:00:55.986333,0 days 00:00:00.380851,6,sqrt,143,COMPLETE
21,-0.024333912662891016,2025-07-06 19:00:55.986761,2025-07-06 19:00:56.527521,0 days 00:00:00.540760,3,sqrt,264,COMPLETE
22,-0.04496944969674151,2025-07-06 19:00:56.527950,2025-07-06 19:00:57.134249,0 days 00:00:00.606299,4,sqrt,267,COMPLETE
23,-0.06248975698742084,2025-07-06 19:00:57.134697,2025-07-06 19:00:57.611382,0 days 00:00:00.476685,5,sqrt,194,COMPLETE
24,-0.09876585123021046,2025-07-06 19:00:57.611809,2025-07-06 19:00:58.158036,0 days 00:00:00.546227,7,sqrt,191,COMPLETE
25,-0.04681312989605679,2025-07-06 19:00:58.158463,2025-07-06 19:00:58.667009,0 days 00:00:00.508546,4,sqrt,228,COMPLETE
26,-0.02468728503421036,2025-07-06 19:00:58.667433,2025-07-06 19:00:59.207922,0 days 00:00:00.540489,3,sqrt,266,COMPLETE
27,-0.11059337297144929,2025-07-06 19:00:59.208403,2025-07-06 19:00:59.402562,0 days 00:00:00.194159,7,sqrt,65,COMPLETE
28,-0.1717725595533243,2025-07-06 19:00:59.402991,2025-07-06 19:00:59.913163,0 days 00:00:00.510172,9,log2,158,COMPLETE
29,-0.09025019471177997,2025-07-06 19:00:59.913589,2025-07-06 19:01:00.412257,0 days 00:00:00.498668,4,,126,COMPLETE
