fold,start_date,end_date,r2,mae,rmse
0,2015-10-26,2017-12-21,-0.45156151974848613,6.082202275999184,8.330550561420836
1,2017-07-20,2019-09-18,-0.4401574668656203,5.303335778039134,6.687811776625824
2,2019-04-15,2021-06-11,-0.8544078763496199,6.575559187553491,7.832942530602781
3,2021-01-06,2023-03-07,-0.09738293369447826,4.1478369343878745,5.149617694026093
4,2022-09-29,2024-11-27,-0.24416177449243026,4.27793091199312,5.326681706254868
