fold,start_date,end_date,r2,mae,rmse
0,2015-10-26,2017-12-21,-0.4501732267794549,3.9162237764527528,5.358206527145645
1,2017-07-20,2019-09-18,-0.09959291299978723,3.072321493267125,4.021594361434371
2,2019-04-15,2021-06-11,-0.2315686816082818,3.0221288635445744,3.764848038897765
3,2021-01-06,2023-03-07,0.05884046390190978,2.5881401628705136,3.1699021294891114
4,2022-09-29,2024-11-27,-0.07186273973047452,2.770654075924989,3.625607461488004
