number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,-0.5300224368078353,2025-07-06 18:59:32.507224,2025-07-06 18:59:34.181635,0 days 00:00:01.674411,0.05186981091923164,8,187,0.9213236142536613,COMPLETE
1,-0.3082996274994749,2025-07-06 18:59:34.182247,2025-07-06 18:59:34.406942,0 days 00:00:00.224695,0.085223941784468,4,51,0.8669510942853387,COMPLETE
2,-0.09455046482879818,2025-07-06 18:59:34.407392,2025-07-06 18:59:34.907348,0 days 00:00:00.499956,0.010091284088420588,8,65,0.8742736022765677,COMPLETE
3,-0.09198453566734055,2025-07-06 18:59:34.907805,2025-07-06 18:59:35.381747,0 days 00:00:00.473942,0.014258795630990213,3,141,0.841687086449949,COMPLETE
4,-0.30396865030883613,2025-07-06 18:59:35.382209,2025-07-06 18:59:36.080376,0 days 00:00:00.698167,0.022248389866733654,7,153,0.5507926837338797,COMPLETE
5,-0.4186047249214498,2025-07-06 18:59:36.080813,2025-07-06 18:59:37.365849,0 days 00:00:01.285036,0.022186534610672378,9,191,0.6642834361731329,COMPLETE
6,-0.4074791266204441,2025-07-06 18:59:37.366298,2025-07-06 18:59:38.600701,0 days 00:00:01.234403,0.026078433882840483,5,295,0.6790280083050014,COMPLETE
7,-0.6204330248106972,2025-07-06 18:59:38.601149,2025-07-06 18:59:39.643435,0 days 00:00:01.042286,0.05868483196239437,6,202,0.7311385264134644,COMPLETE
8,-0.6470237452434908,2025-07-06 18:59:39.643920,2025-07-06 18:59:40.197972,0 days 00:00:00.554052,0.16764494126386514,4,196,0.5000082012580391,COMPLETE
9,-0.2993712420227368,2025-07-06 18:59:40.198409,2025-07-06 18:59:41.681113,0 days 00:00:01.482704,0.011601218785015577,10,153,0.8139807671684705,COMPLETE
10,-0.5281052396736067,2025-07-06 18:59:41.681848,2025-07-06 18:59:42.383621,0 days 00:00:00.701773,0.19632649023652268,3,112,0.9936612673443549,COMPLETE
11,-0.05603071364899215,2025-07-06 18:59:42.384190,2025-07-06 18:59:42.754991,0 days 00:00:00.370801,0.01010756561803736,7,56,0.8081089613211486,COMPLETE
12,-0.1827512085808997,2025-07-06 18:59:42.755439,2025-07-06 18:59:43.300500,0 days 00:00:00.545061,0.015679315696829683,6,97,0.7863909211311031,COMPLETE
13,-0.3055266154370255,2025-07-06 18:59:43.300935,2025-07-06 18:59:44.220792,0 days 00:00:00.919857,0.03599998237940094,3,248,0.96429058083962,COMPLETE
14,-0.2077203844939858,2025-07-06 18:59:44.221242,2025-07-06 18:59:44.913919,0 days 00:00:00.692677,0.013727481926505322,7,103,0.839656033212341,COMPLETE
15,-0.2244084775653942,2025-07-06 18:59:44.914365,2025-07-06 18:59:45.542379,0 days 00:00:00.628014,0.016839725143277542,5,136,0.7267293676468474,COMPLETE
16,-0.3132278138883821,2025-07-06 18:59:45.542814,2025-07-06 18:59:45.981126,0 days 00:00:00.438312,0.03395391739983394,8,75,0.6336699804732586,COMPLETE
17,-0.6986032963635482,2025-07-06 18:59:45.981573,2025-07-06 18:59:47.076589,0 days 00:00:01.095016,0.10091799446392323,5,230,0.7748924827783645,COMPLETE
18,-0.3706724673287642,2025-07-06 18:59:47.077037,2025-07-06 18:59:48.346494,0 days 00:00:01.269457,0.017643819673271468,10,127,0.9071284464080567,COMPLETE
19,-0.23883017410558818,2025-07-06 18:59:48.346951,2025-07-06 18:59:48.738865,0 days 00:00:00.391914,0.03255504052856736,4,83,0.9369145422998649,COMPLETE
20,-0.7691780730357302,2025-07-06 18:59:48.739299,2025-07-06 18:59:49.660277,0 days 00:00:00.920978,0.2748478964513299,6,159,0.8261175701297634,COMPLETE
21,-0.12165266396429127,2025-07-06 18:59:49.660718,2025-07-06 18:59:50.150396,0 days 00:00:00.489678,0.011991387548485105,8,62,0.8767531915438436,COMPLETE
22,-0.15039001395987048,2025-07-06 18:59:50.150866,2025-07-06 18:59:50.854844,0 days 00:00:00.703978,0.010565443672832703,9,80,0.8740578173267555,COMPLETE
23,-0.06963291402721694,2025-07-06 18:59:50.855342,2025-07-06 18:59:51.234444,0 days 00:00:00.379102,0.010146964565079013,7,58,0.7693360090020892,COMPLETE
24,-0.23286057606366364,2025-07-06 18:59:51.234915,2025-07-06 18:59:51.942775,0 days 00:00:00.707860,0.016724192020750362,7,117,0.7493181172875254,COMPLETE
25,-0.14805636966966818,2025-07-06 18:59:51.943248,2025-07-06 18:59:52.306917,0 days 00:00:00.363669,0.021388110549095604,7,54,0.7821645833535165,COMPLETE
26,-0.13509054278386498,2025-07-06 18:59:52.307356,2025-07-06 18:59:52.814400,0 days 00:00:00.507044,0.013060026895062655,6,98,0.6982246920854203,COMPLETE
27,-0.21245101601948146,2025-07-06 18:59:52.814833,2025-07-06 18:59:53.638716,0 days 00:00:00.823883,0.010212463278072384,9,137,0.5938947819689693,COMPLETE
28,-0.3260300768017814,2025-07-06 18:59:53.639189,2025-07-06 18:59:54.064552,0 days 00:00:00.425363,0.04634061732521436,5,86,0.8015811005780832,COMPLETE
29,-0.3481355096581116,2025-07-06 18:59:54.064987,2025-07-06 18:59:55.703824,0 days 00:00:01.638837,0.014277220172674137,7,222,0.9098178887328182,COMPLETE
