fold,start_date,end_date,r2,mae,rmse
0,2015-10-26,2017-12-21,-0.19246346713314333,2.2449867841842246,3.0956048090405255
1,2017-07-20,2019-09-18,-0.13130732705633208,2.187796822579642,2.808644576909293
2,2019-04-15,2021-06-11,-0.4231403817493675,2.183489645236182,2.7543097680909416
3,2021-01-06,2023-03-07,-0.23510142588128713,2.0089257534046037,2.5201704881938194
4,2022-09-29,2024-11-27,-0.09490001548974725,2.0387912342722094,2.6936780234824234
