fold,start_date,end_date,r2,mae,rmse
0,2015-10-26,2017-12-21,-0.23988839270439022,2.2558964551654137,3.1565615966854317
1,2017-07-20,2019-09-18,-0.13896348462949382,2.1914828633016183,2.818132346610108
2,2019-04-15,2021-06-11,-0.21649609506140322,1.969309837370367,2.546503461966264
3,2021-01-06,2023-03-07,-0.012303046859235112,1.8061221117163753,2.2815704427630887
4,2022-09-29,2024-11-27,-0.055425567673140774,1.9943593658129972,2.644674681028801
