ticker
A
AAPL
ABBV
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AFL
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALLE
AMAT
AMD
AME
AMGN
AMP
AMT
AMZN
AON
AOS
APA
APD
APH
APO
APTV
ARE
ATO
AVB
AVY
AWK
AXON
AXP
AZO
BAC
BALL
BAX
BBY
BDX
BIIB
BRK-B
GOOG
GOOGL
LNT
MMM
MO
T
