,0
PbRatio_chg,0.11875407037510623
PegRatio_chg,0.11548864892158585
PegRatio_zscore,0.10888707235723455
PbRatio_zscore,0.09400578260165349
ForwardPeRatio_zscore,0.09254283386493689
PeRatio_zscore,0.07866063806141133
EnterpriseValue_chg,0.07392362441691246
MarketCap_zscore,0.05052379573497443
PsRatio_zscore,0.050434352745481796
EnterpriseValue_zscore,0.04919680877679124
MarketCap_chg,0.03903000559884123
PsRatio_chg,0.03611723000541079
PeRatio_chg,0.02799558056310928
log_marketcap,0.027795517965631917
ForwardPeRatio_chg,0.02411874542466853
log_enterprise,0.012525292586249992
