,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
58,AVGO250620C00099000,2025-06-17 10:56:00,99,150.23,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
59,AVGO250620C00100000,2025-06-17 10:58:00,100,149.48,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
60,AVGO250620C00101000,2025-06-16 15:30:00,101,152.21,0.00,0.00,0.00,0.00%,80.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
62,AVGO250620C00103000,2025-06-16 14:38:00,103,149.61,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
63,AVGO250620C00104000,2025-06-17 10:20:00,104,148.46,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
64,AVGO250620C00105000,2025-06-17 13:13:00,105,143.47,0.00,0.00,0.00,0.00%,36.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
66,AVGO250620C00107000,2025-04-04 15:00:00,107,46.10,94.65,95.90,0.00,0.00%,1.0,41.0,0.0,"Jun 20, 2025",2025-06-20,call,76,2025-04-04,long
69,AVGO250620C00110000,2025-06-17 15:54:00,110,140.40,0.00,0.00,0.00,0.00%,64.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
70,AVGO250620C00111000,2025-05-28 15:55:00,111,128.20,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,22,2025-05-28,medium
71,AVGO250620C00112000,2025-05-16 10:57:00,112,116.35,137.00,138.05,0.00,0.00%,1.0,80.0,3.6952999999999996,"Jun 20, 2025",2025-06-20,call,34,2025-05-16,medium
72,AVGO250620C00113000,2025-05-19 10:59:00,113,116.65,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,31,2025-05-19,medium
74,AVGO250620C00115000,2025-06-17 11:28:00,115,135.01,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
75,AVGO250620C00116000,2025-04-06 15:45:00,116,145.58,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,74,2025-04-06,long
77,AVGO250620C00118000,2025-03-06 15:54:00,118,138.95,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,105,2025-03-06,long
78,AVGO250620C00119000,2025-06-16 15:54:00,119,133.20,0.00,0.00,0.00,0.00%,11.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
80,AVGO250620C00121000,2025-03-04 15:25:00,121,38.70,83.25,84.15,0.00,0.00%,1.0,23.0,0.0,"Jun 20, 2025",2025-06-20,call,107,2025-03-04,long
82,AVGO250620C00123000,2025-06-16 15:54:00,123,129.20,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
83,AVGO250620C00124000,2025-04-21 10:40:00,124,45.35,108.00,108.95,0.00,0.00%,2.0,109.0,0.0,"Jun 20, 2025",2025-06-20,call,59,2025-04-21,long
